iter	Passed	Remaining
746	3452	1169
747	3456	1164
748	3460	1159
749	3464	1154
750	3469	1150
751	3473	1145
752	3477	1140
753	3481	1135
754	3486	1131
755	3490	1126
756	3494	1121
757	3498	1116
758	3503	1112
759	3506	1107
760	3510	1102
761	3514	1097
762	3519	1093
763	3523	1088
764	3526	1083
765	3531	1078
766	3535	1074
767	3540	1069
768	3543	1064
769	3547	1059
770	3552	1055
771	3556	1050
772	3560	1045
773	3564	1040
774	3569	1036
775	3573	1031
776	3577	1026
777	3582	1022
778	3586	1017
779	3590	1012
780	3595	1008
781	3599	1003
782	3603	998
783	3607	993
784	3611	989
785	3616	984
786	3620	979
787	3624	975
788	3628	970
789	3634	966
790	3637	961
791	3641	956
792	3645	951
793	3650	947
794	3654	942
795	3658	937
796	3662	932
797	3666	928
798	3670	923
799	3674	918
800	3678	913
801	3683	909
802	3687	904
803	3691	899
804	3694	895
805	3699	890
806	3703	885
807	3707	880
808	3711	876
809	3715	871
810	3719	866
811	3723	862
812	3727	857
813	3732	852
814	3735	848
815	3740	843
816	3744	838
817	3749	834
818	3753	829
819	3757	824
820	3762	820
821	3766	815
822	3770	810
823	3773	806
824	3778	801
825	3783	796
826	3787	792
827	3790	787
828	3796	783
829	3800	778
830	3804	773
831	3808	769
832	3813	764
833	3817	759
834	3821	755
835	3825	750
836	3830	745
837	3833	741
838	3837	736
839	3842	731
840	3847	727
841	3851	722
842	3855	717
843	3859	713
844	3863	708
845	3867	704
846	3871	699
847	3876	694
848	3880	690
849	3884	685
850	3888	680
851	3893	676
852	3897	671
853	3901	667
854	3905	662
855	3909	657
856	3913	653
857	3917	648
858	3921	643
859	3925	639
860	3930	634
861	3934	629
862	3937	625
863	3942	620
864	3946	615
865	3950	611
866	3955	606
867	3959	602
868	3963	597
869	3967	592
870	3971	588
871	3976	583
872	3980	579
873	3983	574
874	3988	569
875	3993	565
876	3996	560
877	4000	555
878	4004	551
879	4009	546
880	4013	542
881	4017	537
882	4021	532
883	4025	528
884	4029	523
885	4034	519
886	4038	514
887	4043	509
888	4047	505
889	4050	500
890	4055	496
891	4059	491
892	4063	486
893	4067	482
894	4072	477
895	4076	473
896	4080	468
897	4084	463
898	4088	459
899	4093	454
900	4096	450
901	4100	445
902	4104	440
903	4109	436
904	4113	431
905	4117	427
906	4122	422
907	4126	418
908	4129	413
909	4134	408
910	4139	404
911	4143	399
912	4147	395
913	4151	390
914	4155	386
915	4160	381
916	4164	376
917	4167	372
918	4172	367
919	4176	363
920	4180	358
921	4184	353
922	4188	349
923	4192	344
924	4196	340
925	4200	335
926	4204	331
927	4209	326
928	4213	322
929	4217	317
930	4222	312
931	4226	308
932	4230	303
933	4235	299
934	4239	294
935	4243	290
936	4247	285
937	4251	281
938	4256	276
939	4260	271
940	4264	267
941	4268	262
942	4272	258
943	4276	253
944	4279	249
945	4284	244
946	4288	239
947	4292	235
948	4296	230
949	4300	226
950	4305	221
951	4309	217
952	4313	212
953	4317	208
954	4321	203
955	4325	199
956	4330	194
957	4335	190
958	4339	185
959	4343	180
960	4347	176
961	4351	171
962	4356	167
963	4360	162
964	4364	158
965	4370	153
966	4374	149
967	4378	144
968	4383	140
969	4387	135
970	4391	131
971	4394	126
972	4399	122
973	4403	117
974	4407	113
975	4411	108
976	4416	103
977	4420	99
978	4424	94
979	4428	90
980	4432	85
981	4436	81
982	4440	76
983	4445	72
984	4450	67
985	4454	63
986	4458	58
987	4467	54
988	4477	49
989	4485	45
990	4492	40
991	4499	36
992	4504	31
993	4510	27
994	4515	22
995	4519	18
996	4524	13
997	4529	9
998	4532	4
999	4536	0
